,neurons,learning_rate,epochs,accuracy,mse
61,32,0.05994842503189409,200,1.0,3.468377585136295e-08
62,32,0.05994842503189409,300,1.0,1.783121539311594e-09
63,32,0.05994842503189409,400,1.0,1.1907016483903021e-09
64,32,0.21544346900318845,100,1.0,3.6325675978332583e-07
65,32,0.21544346900318845,200,1.0,6.318716661013468e-09
66,32,0.21544346900318845,300,0.9959183931350708,0.002815814921632409
67,32,0.21544346900318845,400,1.0,4.891542282337014e-09
68,32,0.7742636826811278,100,0.9877551198005676,0.008850812911987305
69,32,0.7742636826811278,200,1.0,3.9543421315180183e-10
70,32,0.7742636826811278,300,0.9918367266654968,0.007906182669103146
71,32,0.7742636826811278,400,0.9959183931350708,0.003919961396604776
72,32,2.782559402207126,100,0.9836734533309937,0.013828135095536709
73,32,2.782559402207126,200,0.9673469662666321,0.02353152632713318
74,32,2.782559402207126,300,0.9959183931350708,0.004058412276208401
75,32,2.782559402207126,400,0.9918367266654968,0.008002192713320255
76,32,10.0,100,0.9959183931350708,0.004153797868639231
77,32,10.0,200,0.9918367266654968,0.008125945925712585
78,32,10.0,300,0.9673469662666321,0.022675560787320137
79,32,10.0,400,0.9673469662666321,0.022777125239372253
80,48,0.0001,100,0.8938775658607483,0.08493117988109589
81,48,0.0001,200,0.922448992729187,0.06202303618192673
82,48,0.0001,300,0.9428571462631226,0.03871502727270126
83,48,0.0001,400,0.9551020264625549,0.03407619148492813
84,48,0.00035938136638046257,100,0.9469387531280518,0.04026499018073082
85,48,0.00035938136638046257,200,0.9877551198005676,0.014013738371431828
86,48,0.00035938136638046257,300,0.9918367266654968,0.009117118082940578
87,48,0.00035938136638046257,400,0.9959183931350708,0.006004279013723135
88,48,0.001291549665014884,100,0.9918367266654968,0.00870834942907095
89,48,0.001291549665014884,200,0.9959183931350708,0.00334429694339633
90,48,0.001291549665014884,300,1.0,0.0011248718947172165
91,48,0.001291549665014884,400,1.0,0.00018468068446964025
92,48,0.004641588833612782,100,0.9959183931350708,0.0014682362088933587
93,48,0.004641588833612782,200,1.0,5.7222929171985015e-05
94,48,0.004641588833612782,300,1.0,1.716485030556214e-06
95,48,0.004641588833612782,400,1.0,5.980263040328282e-07
96,48,0.016681005372000592,100,1.0,4.992662525182823e-06
