,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.33291258811950686,0.14911012627265394,0.006527423858642578,0.001981641443179325,40,0.1,5000,"{'hidden_layer_sizes': 40, 'learning_rate_init': 0.1, 'max_iter': 5000}",0.8775510204081632,0.8979591836734694,1.0,0.8775510204081632,0.9387755102040817,0.9183673469387754,0.04653777245302605,3
18,0.1475499153137207,0.17188771750127269,0.009434652328491212,0.004948832604018739,60,0.5,300,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.5, 'max_iter': 300}",0.8979591836734694,0.8775510204081632,0.7959183673469388,0.8775510204081632,0.8979591836734694,0.8693877551020407,0.03785150406324777,30
19,0.1307084083557129,0.13493002438314225,0.007561254501342774,0.0024162354494062844,60,0.5,1000,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.5, 'max_iter': 1000}",0.8367346938775511,0.7755102040816326,0.9387755102040817,0.8979591836734694,0.9387755102040817,0.8775510204081632,0.06323238116257009,27
20,0.1562045097351074,0.15696205595247414,0.008370256423950196,0.004230385336253314,60,0.5,5000,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.5, 'max_iter': 5000}",0.7755102040816326,0.7551020408163265,0.8775510204081632,0.8163265306122449,0.9387755102040817,0.8326530612244898,0.06756304227447696,34
21,0.6744036197662353,0.2010836432635125,0.009951400756835937,0.006375157111484415,60,0.3,300,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.3, 'max_iter': 300}",0.9183673469387755,0.8775510204081632,0.8163265306122449,0.8979591836734694,0.9183673469387755,0.8857142857142858,0.037851504063247776,21
22,0.5443789005279541,0.29164830188255864,0.00981001853942871,0.00492755990471974,60,0.3,1000,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.3, 'max_iter': 1000}",0.8775510204081632,0.8367346938775511,0.9387755102040817,0.8775510204081632,0.9387755102040817,0.8938775510204081,0.039572896795235346,17
23,0.4672947883605957,0.27944661845328334,0.007840967178344727,0.001612518714074748,60,0.3,5000,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.3, 'max_iter': 5000}",0.8979591836734694,0.8367346938775511,0.8367346938775511,0.8775510204081632,0.9591836734693877,0.8816326530612244,0.04545113765575525,23
24,0.5418115615844726,0.2082472524468554,0.007312965393066406,0.002833269265094805,60,0.1,300,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.1, 'max_iter': 300}",0.8775510204081632,0.9387755102040817,0.9183673469387755,0.8775510204081632,0.9387755102040817,0.9102040816326531,0.02768297952296031,6
25,0.38846435546875,0.11068159728673004,0.005555438995361328,0.0005774985709411223,60,0.1,1000,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9183673469387755,0.8775510204081632,0.8979591836734694,0.8979591836734694,0.9387755102040817,0.9061224489795918,0.020812324545276695,8
26,0.45127263069152834,0.2420650108586764,0.008622026443481446,0.003151405640800467,60,0.1,5000,"{'hidden_layer_sizes': 60, 'learning_rate_init': 0.1, 'max_iter': 5000}",0.8979591836734694,0.8775510204081632,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.9183673469387756,0.025814511511578635,2
27,0.46933622360229493,0.31215663855320047,0.012834501266479493,0.009011028810473993,80,0.5,300,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.5, 'max_iter': 300}",0.7959183673469388,0.8571428571428571,0.8775510204081632,0.8571428571428571,0.9591836734693877,0.8693877551020407,0.052588158068265806,30
28,0.04293384552001953,0.0033606499879199007,0.009341192245483399,0.005826835589056835,80,0.5,1000,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.5, 'max_iter': 1000}",0.8571428571428571,0.8571428571428571,0.8979591836734694,0.8775510204081632,0.9183673469387755,0.8816326530612244,0.023799803652429823,23
29,0.0586820125579834,0.007592428578287688,0.00703740119934082,0.0014928431772165188,80,0.5,5000,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.5, 'max_iter': 5000}",0.5306122448979592,0.8163265306122449,0.8163265306122449,0.8367346938775511,0.9387755102040817,0.7877551020408163,0.13635341296726583,35
30,0.22833747863769532,0.17662542636379241,0.005012607574462891,0.00019872079727661988,80,0.3,300,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.3, 'max_iter': 300}",0.8979591836734694,0.8163265306122449,0.8163265306122449,0.8775510204081632,0.9387755102040817,0.8693877551020408,0.0475996073048596,29
31,0.30800418853759765,0.2784654387935698,0.005320501327514648,0.00019421849645762576,80,0.3,1000,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.3, 'max_iter': 1000}",0.8775510204081632,0.8775510204081632,0.9387755102040817,0.8979591836734694,0.9387755102040817,0.9061224489795918,0.027682979522960307,8
32,0.28339381217956544,0.18814047465048347,0.005346536636352539,0.0002636356278484757,80,0.3,5000,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.3, 'max_iter': 5000}",0.9387755102040817,0.8571428571428571,0.8571428571428571,0.8979591836734694,0.9183673469387755,0.8938775510204081,0.03265306122448983,17
33,0.34276762008666994,0.10280688579857004,0.006881237030029297,0.0035376189193152795,80,0.1,300,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.1, 'max_iter': 300}",0.8979591836734694,0.9183673469387755,0.9387755102040817,0.9183673469387755,0.9591836734693877,0.926530612244898,0.02081232454527666,1
34,0.37301273345947267,0.11141403834591383,0.005683994293212891,0.0006122601292202915,80,0.1,1000,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.8979591836734694,0.8571428571428571,0.8775510204081632,0.8979591836734694,0.9387755102040817,0.8938775510204081,0.02707448808453391,17
35,0.2503355026245117,0.0743052117345242,0.004261016845703125,0.0013268951893828829,80,0.1,5000,"{'hidden_layer_sizes': 80, 'learning_rate_init': 0.1, 'max_iter': 5000}",0.9183673469387755,0.8979591836734694,0.8979591836734694,0.9183673469387755,0.9183673469387755,0.9102040816326531,0.00999791731748237,6
